
Image Name                     PID Session Name        Session#    Mem Usage
WTabletServicePro.exe         8072 Services                   0      3,856 K
GamingServices.exe            8144 Services                   0     16,400 K
GiftBox.Agent.exe             8240 Console                    1     19,548 K
jhi_service.exe               8400 Services                   0        556 K
Wacom_TabletUser.exe          8724 Console                    1      3,208 K
svchost.exe                   8792 Services                   0      4,372 K
svchost.exe                   8816 Services                   0        976 K
IntelCpHeciSvc.exe            8956 Services                   0      1,080 K
WacomHost.exe                 9092 Console                    1      2,416 K
svchost.exe                   9864 Services                   0      5,508 K
Wacom_Tablet.exe              9572 Console                    1     11,560 K
svchost.exe                   9052 Services                   0      2,108 K
Wacom_TouchUser.exe           9956 Console                    1      5,820 K
explorer.exe                  9452 Console                    1    138,200 K
svchost.exe                   9040 Services                   0        840 K
PresentationFontCache.exe     8840 Services                   0      9,268 K
TeamViewer.exe               10388 Console                    1     28,212 K
igfxEM.exe                   10492 Console                    1     17,612 K
vds.exe                      10684 Services                   0      3,644 K
BullGuardSentryEye.exe       10764 Services                   0     30,840 K
svchost.exe                  10780 Services                   0      5,796 K
svchost.exe                   9440 Console                    1     17,172 K
svchost.exe                  11272 Services                   0      1,252 K
svchost.exe                  11428 Services                   0     10,640 K
svchost.exe                  11480 Services                   0      5,032 K
tv_w32.exe                   11592 Console                    1      1,532 K
tv_x64.exe                   11616 Console                    1      1,240 K
BullGuardHelper.exe          11424 Services                   0      2,224 K
SettingSyncHost.exe          12404 Console                    1      1,552 K
svchost.exe                  13204 Services                   0      3,620 K
TodoBackupService.exe        11904 Console                    1      3,132 K
StartMenuExperienceHost.e    12340 Console                    1     39,320 K
RuntimeBroker.exe            13164 Console                    1     10,204 K
SearchApp.exe                13520 Console                    1    238,520 K
SearchIndexer.exe            13656 Services                   0     52,900 K
RuntimeBroker.exe            13720 Console                    1     34,088 K
svchost.exe                   2700 Services                   0      9,468 K
YourPhone.exe                13416 Console                    1        312 K
ctfmon.exe                   13976 Console                    1     29,180 K
TabTip.exe                   14360 Console                    1      8,596 K
ChsIME.exe                   14476 Console                    1      1,008 K
ChtIME.exe                    4132 Console                    1        968 K
RuntimeBroker.exe            14812 Console                    1     23,596 K
nvsphelper64.exe              4236 Console                    1      4,784 K
NVIDIA Share.exe              3884 Console                    1     41,328 K
svchost.exe                  15012 Services                   0      6,440 K
NVIDIA Share.exe             15596 Console                    1     35,468 K
NVIDIA Share.exe             15980 Console                    1     67,232 K
TextInputHost.exe             3888 Console                    1     41,648 K
RuntimeBroker.exe             3516 Console                    1      4,624 K
SecurityHealthSystray.exe    15960 Console                    1      1,776 K
SecurityHealthService.exe    12964 Services                   0      5,208 K
BullGuardTray.exe            16292 Console                    1      4,664 K
OneDrive.exe                 13848 Console                    1     46,324 K
CCleaner64.exe               14724 Console                    1     13,684 K
slack.exe                    16308 Console                    1     61,028 K
svchost.exe                  15204 Services                   0      2,576 K
ciscowebexstart.exe          16508 Console                    1     10,032 K
slack.exe                    16596 Console                    1     19,860 K
